Reading from file ....
 536 out of (lagpas sa sampung daliriri)
 Done reading from file.
Reading from file ....
 460 out of (lagpas sa sampung daliriri)
 Done reading from file.
Reading from file ....
 387 out of (lagpas sa sampung daliriri)
 Done reading from file.
binubuo = *binubuo vs $bu@in
paninirang-puri = *paninirang-puri vs %%paninirangpuri
pinakamatandang = ~pinaka+ng vs ~pina~ka+ng
kailangang = *kailangang vs +g
kikilalanin = *kikilalanin vs $ki+nin
kamali-maling = *kamali-maling vs ~ka$mali+ng
nakapaglikha = ~na~ka~pag vs ~naka~pag
daanan = *daanan vs +an
nakatagong = ~na~ka+ng vs ~naka+ng
nakalista = ~na~ka vs ~naka
paminsan-minsan = ~pa$minsan+an vs ~pa$minsan
namamahagi = *namamahagi vs ~na$ma
paglala = ~pag vs ~pag$la
pampulitika = *pampulitika vs ~pam
pagkawalang-taros = ~pag~ka$walang vs %%pagkawalangtaros
Nangyari = :FS*nangyari vs :FS~nang
panoorin = *panoorin vs ~pa+rin
inaakala = ~i~na vs ~in$a
nanalo = *nanalo vs ~na
panlabas = *panlabas vs ~pan
Pinaniniwalaan = :FS*pinaniniwalaan vs :FS$ni@in+an
pigilang = *pigilang vs +ang
Bagong = :F+ng vs :F*bagong
Nangyayari = :FS*nangyayari vs :FS~nang$ya
pwedeng = +ng vs +nh
ipinadala = ~i~pina vs ~ipina
binansagang = *binansagang vs @in+ang
tumakas = @um vs #um
Tuwing = :FS+ng vs :FS#tuwing
tatalong = $ta+ng vs ~ta+ng
mayroong = *mayroong vs +g
nakikisalo = *nakikisalo vs ~na$ki$ki
akawnting = *akawnting vs %%%akawnting
mapipilitan = ~ma$pi+an vs ~ma$pi
tinatablan = *tinatablan vs %%%tinatablan
pamamahayag = ~pa~ma vs @ma
kalagitnaang = *kalagitnaang vs ~ka~la+ang
sasakyang = *sasakyang vs $sa+ang
pag-intindi = ~pag$ vs ~pag
Malawakang = :FS*malawakang vs :FS~ma+ang
kinailangan = @in+an+ng vs @in
kadalasang = *kadalasang vs ~ka+ang
mamili = *mamili vs ~ma
kinabibilangan = *kinabibilangan vs ~ki~na$bi+an
kapootang = *kapootang vs ~ka+ang
pinakakaraniwang = *pinakakaraniwang vs ~pina$ka+g
lumalantad = $la@um vs %%%lumalantad
pandekorasyong = *pandekorasyong vs ~pan+g
kinikilala = $ki vs $ki@in
pinapalapad = ~pina~pa vs ~pina
tradisyunal = *tradisyunal vs +al
panahong = ~pa+ng vs +g
bilyong = *bilyong vs +g
eklipse = *eklipse vs #eklipse
kognitibong = *kognitibong vs +ng
pag-print = ~pag$ vs *pagprint
senyales = *senyales vs #senyales
tag-init = $tag vs ~tag
umaasa = *umaasa vs ~um$a
pampublikong = *pampublikong vs ~pam+ng
nilalaman = ~ni$la+an vs ~ni$la
pinakunang = *pinakunang vs ~pina+nang
nag-iisa = *nag-iisa vs ~nag$i
kaganapang = *kaganapang vs ~ka+ang
pagkakabanggit = ~pag~ka vs ~pag$ka
nagkakaroon = ~nag~ka vs ~nag$ka$ka
nagmamay-ari = *nagmamay-ari vs ~nag~ma~may
kapulungan = *kapulungan vs ~ka+an
tratuhin = *tratuhin vs +hin
hangga’t = *hangga’t vs *hangga't
kakulangan = ~ka+an+ng vs ~ka+an
isport = ~i vs #isport
pakiramdam = *pakiramdam vs ~paki
arkitektura = *arkitektura vs #arkitektura
paraang = *paraang vs +g
mananakbo = *mananakbo vs ~ma$na
pangkatawang = *pangkatawang vs ~pang+g
kakayahan = ~ka+han vs $ka+han
first-out = $first vs %%firstout
dominyong = *dominyong vs +g
maninirahan = *maninirahan vs ~ma$ni
katangiang = *katangiang vs ~ka+ang
Pinagkasanayan = :FS~pinag~ka+an vs :FS~pinagka+an
sumali = *sumali vs @um
pangkalahatang = *pangkalahatang vs ~pang~ka+ang
nawalang = ~na+ng vs +ng
nahuhulog = ~na$hu vs ~na~hu
naninirahan = *naninirahan vs ~na$ni+han
Binabato = :FS$ba@in vs :FS%%%binabato
tagahanga = *tagahanga vs ~taga
Iniilipat = :FS~i~ni vs :FS~i~ni$li
pamamaraan = ~pa~ma+an vs ~pa$ma
nakakahiyang = ~na~ka+ng vs ~na$ka$ka+ng
pampigil = *pampigil vs %%%pampigil
nakapalibot = ~na~ka~pa vs ~naka~pa
manatili = ~ma~na vs #manatili
Malilit = :FS*malilit vs :FS~ma$li
hindi-mahalagang = $hindi~ma+ng vs *hindi-mahalagang
colonya = *colonya vs #colonya
pagnanais = ~pag~na vs ~pag$na
establisimentong = *establisimentong vs +ng
pababang = ~pa+ng vs +ng
first-in = $first+in vs %%firstin
tradisyong = *tradisyong vs +g
isinasangguni = ~i$sa@in vs ~isina
pabagu-bagong = ~pa$bagu+ng vs ~pa$bago
Kin-la-Belle = :F*kin-la-belle vs :F*kinlabelle
sinaunang = *sinaunang vs +ng
tauhan = *tauhan vs +han
Nagbabago = :FS~nag$ba vs :FS*~nag$ba
ipaiilalim = ~i~pa vs ~ipa$i
multi-functional = *multi-functional vs *multifunctional
nakaakibat = ~na~ka vs ~naka
interfaces = *interfaces vs #interfaces
Rene-Charles = :F*rene-charles vs :F*renecharles
interaksyong = *interaksyong vs +g
pagkakabahagi = ~pag~ka vs ~pag~ka$ka
kombensyunal = *kombensyunal vs +al
obserbasyong = *obserbasyong vs +g
maiisip = ~ma~i vs ~ma$i
makipagkayari = *makipagkayari vs ~maki~pag
koleksyon = *koleksyon vs #koleksyon
pagkakataon = ~pag~ka vs ~pag$ka$ka
i-master = *i-master vs *imaster
nakakapag-impluwensya = *nakakapag-impluwensya vs ~nakakapag
armado = *armado vs +do
magtapon = ~mag vs ~msh
anti-communism = *anti-communism vs *anticommunism
noong = +ng vs +g
tagginaw = *tagginaw vs ~tag
mababang = ~ma+ng vs +ng
ibong = *ibong vs +g
nakabatay = ~na~ka vs ~naka
Binubuo = :FS*binubuo vs :FS~binu
Inutusan = :FS*inutusan vs :FS~in+an
hinihinging = $hi@in+ng vs %%%hinihinging
ideyal = *ideyal vs #ideyal
lumalabas = $la@um vs ~luma
naaayos = *naaayos vs ~na$a
panlahi = *panlahi vs ~pan
naaayon = *naaayon vs ~na$a
pag-uugali = ~pag$ vs ~pag$u
magagandang = *magagandang vs ~ma$ga+ng
selula = *selula vs #selula
mauunlad = *mauunlad vs #ma$u
pinapalipad = ~pina~pa vs ~pina
pangpanatili = *pangpanatili vs ~pang
Inilalarawan = :FS~i~ni$la+an vs :FS~i~ni$la
papalitan = ~pa+an vs $pa+an
magkatulong = ~mag~ka+ng vs ~magka
ideolohiya = *ideolohiya vs +olohiya
idinaragdag = *idinaragdag vs ~idina
Itinuturing = :FS~i$tu@in+ng vs :FS~i$tu@i
pangalawang = ~pa+ng vs ~pang+ng
kahanga-hangang = ~ka$hanga+ng vs ~ka$hanga+g
panlasa = ~pa vs ~pan
pag-eendorso = *pag-eendorso vs ~pag$e
ikatlo = *ikatlo vs ~ika
isa’t = *isa’t vs *isa't
makakatrabaho = ~ma~ka vs ~ma$ka$ka
spesyalisadong = *spesyalisadong vs +isadong
pandigma = *pandigma vs ~pan
maikukumpara = ~ma~i$ku vs ~mai$ku
proteins = *proteins vs *poteins
napaglilituhan = *napaglilituhan vs ~na~pag$li+han
asensado = *asensado vs +do
iniharap = ~i~ni vs ~ini
pinakamahabang = ~pinaka~ma+ng vs ~pinaka+ng
ika-8 = *ika-8 vs *ika8
grown-up = *grown-up vs *grownup
direct-to-retail = *direct-to-retail vs *directtoretail
naitaguyod = ~na~i vs ~nai
nagpapahinga = ~nag~pa vs ~nag$pa
minsa’y = *minsa’y vs *minsa'y
gawaing = *gawaing vs +ing
inaasahang = *inaasahang vs ~i~na+hang
kahali-halinang = ~ka$hali+ng vs ~ka$hali
Marahil = :F~ma vs #marahil
Inihahambing = :FS~i~ni$ha+ng vs :FS~i~ni$ha
non-rigid = *non-rigid vs *nonrigid
Stasinus = :F*stasinus vs *stasinus
Alaman = :F+an vs :F*alaman
sinulat = @in vs #@in
suspendido = *suspendido vs +do
DSCR1 = :F*dscr1 vs :A*dscr1
makatakas = ~ma~ka vs ~maka
dinidirekta = $di vs %%%dinidirekta
ikalawang = ~i~ka+ng vs +ng
nanatiling = ~na+ng vs %%%nanatiling
saligang = *saligang vs +ang
maiintindihan = ~ma~i+han vs ~ma$i+han
makakaranas = *makakaranas vs ~ma$ka$ka
nakatatanggap = ~na~ka$ta vs ~naka$ta
merong = *merong vs +g
naubusan = *naubusan vs ~na+an
deribatibong = *deribatibong vs +ng
populasyon = *populasyon vs #populasyon
sibilyang = *sibilyang vs +g
ninanais = ~na@in vs ~ni$na
nakakamangha = ~na~ka vs ~nakaka
Sinubukan = :F*sinubukan vs :F@in+an
NFATc = :F*nfatc vs :A*nfatc
pinangagalingan = *pinangagalingan vs %%%pinangagalingan
pagkasunog = ~pag~ka vs ~pagka
urbanong = *urbanong vs +ng
Ipinalagay = :FS~i@in vs :FS~i~pina
inaani = ~i~na vs ~in$a
ipinaglaban = ~i~pinag+an vs ~i~pinag
nai-publish = ~na~i$ vs %%%nai-publish
Makatulong = :FS~ma~ka+ng vs :FS~maka
Karagdagan = :FS*karagdagan vs :FS~ka+an
konektado = *konektado vs +tado
Iniuri = :FS~i~ni vs :FS~in@i
pagsalang = ~pag+ng vs ~pag
naglalaman = ~nag$la+an vs ~nag$la
pagkamakatwiran = ~pag~ka~ma+an vs ~pagkama
Tangkaing = :FS*tangkaing vs :FS+in
pinakasalan = ~pinaka+an vs ~pina+an
mala-matibay = ~ma$la vs %%%mala-matibay
Inaalagaan = :FS~i~na+an vs :FS~in$a+an
patalbugin = *patalbugin vs ~pa+in
Torvalds = :F*torvalds vs :F*torvals
insitusyon = *insitusyon vs #insitusyon
di-polar = *di-polar vs *dipolar
pagdidisisyon = *pagdidisisyon vs ~pag$di
pagpaparis = ~pag~pa vs ~pag$pa
iwanan = *iwanan vs +an
may-akda = ~ma$y vs *may-akda
kabubuaan = *kabubuaan vs ~ka$bu+an
nag-iimbak = ~nag$~i vs ~nag$i
nakasusugpung = *nakasusugpung vs ~naka$su+ng
pinakauna-unahang = *pinakauna-unahang vs ~pinaka$una+hang
nilya = *nilya vs %%%nilya
kabaligtaran = *kabaligtaran vs ~ka+an
pampubliko = *pampubliko vs ~pam
kaya’t = *kaya’t vs *kayat
pantukoy = *pantukoy vs ~pan
napakaliit = ~na~pa~ka vs ~napa~ka
nakabalot = ~na~ka vs ~naka
Nakapagdesisyon = :FS~na~ka~pag vs :FS~nakapag
magkakahiwalay = ~mag~ka vs ~mag$ka$ka
AUGUR-RosAerosystems = :F*augur-rosaerosystems vs :F*augurrosaerosystems
timog-silangan = $timog+an+ng vs *timog-silangan
pagkakasunod-sunod = *pagkakasunod-sunod vs ~pag$ka$ka$sunod
ating = +ng vs +g
gastusing = *gastusing vs +ing
pangyayari = *pangyayari vs ~pang$ya
nag-endorso = ~nag$ vs ~nag
ikawalo = ~i~ka vs ~ika
mag-aaral = *mag-aaral vs ~mag$a
posisyong = *posisyong vs +n
kalagayang = *kalagayang vs ~ka+ang
tuntunin = *tuntunin vs $tun
opisiyal = *opisiyal vs #opisiyal
humahawak = $ha@um vs %%%humahawak
manananggol = *manananggol vs ~ma$na
nakakuha = ~na~ka vs ~naka
Nagsanay = :F~nag vs ~nag
kontroladong = *kontroladong vs +adong
pag-ulan = ~pag$+an vs ~pag
accuracy = 2575.0 / 3466.0
Accuracy: 0.742931332948644
